id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
111,Observable lift,Specific observable lift dynamic observer,38.8104,38.7026,39.0646,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
112,Observable lift,Dynamic observable lift specific observer,57.1351,56.9575,57.4323,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
113,Observable lift,Dynamic observable lift dynamic observer,44.5674,44.4775,44.8537,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
114,Observable construction,Specific observable construction,0.806998,0.802916,0.817528,0.95,Windows MSVC,add area (7bed3923),rpp
115,Observable construction,Dynamic observable construction,69.3019,69.072,69.7895,0.95,Windows MSVC,add area (7bed3923),rpp
116,Observable construction,Specific observable construction + as_dynamic,68.7596,68.5765,69.2732,0.95,Windows MSVC,add area (7bed3923),rpp
117,Observer construction,Specific observer construction,0.418348,0.417775,0.419729,0.95,Windows MSVC,add area (7bed3923),rpp
118,Observer construction,Dynamic observer construction,69.3425,68.9144,70.1961,0.95,Windows MSVC,add area (7bed3923),rpp
119,Observer construction,Specific observer construction + as_dynamic,70.5041,69.5455,72.7851,0.95,Windows MSVC,add area (7bed3923),rpp
120,OnNext,Specific observer OnNext,0.44673,0.445921,0.448205,0.95,Windows MSVC,add area (7bed3923),rpp
121,OnNext,Dynamic observer OnNext,1.6356,1.63239,1.64089,0.95,Windows MSVC,add area (7bed3923),rpp
122,Subscriber construction,Make subsriber,84.3593,84.1797,84.7695,0.95,Windows MSVC,add area (7bed3923),rpp
123,Subscriber construction,Make copy of subscriber,17.8806,16.1097,26.2914,0.95,Windows MSVC,add area (7bed3923),rpp
124,Subscriber construction,Transform subsriber to dynamic,83.8889,83.6599,84.4108,0.95,Windows MSVC,add area (7bed3923),rpp
125,Observable subscribe,Specific observable subscribe specific observer,108.32,107.996,108.996,0.95,Windows MSVC,add area (7bed3923),rpp
126,Observable subscribe,Specific observable subscribe dynamic observer,127.363,123.527,143.592,0.95,Windows MSVC,add area (7bed3923),rpp
